Zone géographique,Entreprise,Sous-catégorie,ID commande,Nom du client,Région,Nom du produit,Mode d'expédition,Pays,Remise,Grand public,Taux de remise,Catégorie,ID produit,Date d'expédition,Quantité,Profit,ID,Vente,Date de commande,ID client,Ville,Entreprise individuelle
Centre,1,Machines,ES-2011-1406120,Mallory Goudreau,Hambourg,"Panasonic Calculatrice, Rouge",Le même jour,Allemagne,0,0,TR1,Produits technologiques,PRO-MA-10004314,03-Dec-14,8,128.88,115,379.44,03-Dec-14,MG-17035,Hambourg,0
Nord,1,Stockage,ES-2011-2486841,Frédéric Villeneuve,Écosse,"Rogers Dossiers, Taille réelle",Tarif normal,Royaume-Uni,0,0,TR1,Fournitures de bureau,FOU-ST-10002526,10-Jun-14,4,9.72,6801,122.88,04-Jun-14,FV-14620,Édimbourg,0
Centre,1,Téléphones,IT-2011-2743644,Églantine Jolicoeur,Nord-Pas-de-Calais-Picardie,"Nokia Dispositif audio, Bleu",Tarif normal,France,0.15,0,TR1,Produits technologiques,PRO-TÉ-10002970,02-Oct-14,3,-0.063000000,6696,425.187,26-Sep-14,ÉJ-13750,Arras,0
Centre,1,Meubles,ES-2011-3134727,Martin Petrie,Berlin,"Eldon Ampoule, Noir",Tarif normal,Allemagne,0.1,0,TR1,Mobilier,MOB-ME-10002485,22-Dec-14,3,21.15,2050,68.04,15-Dec-14,MP-17440,Berlin,0
Centre,0,Stockage,ES-2011-5796288,Gemma Séguin,Rhénanie-du-Nord-Westphalie,"Eldon Casiers, Métal",Tarif normal,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-ST-10004687,27-Sep-14,7,137.844,7986,1240.974,22-Sep-14,GS-15040,Cologne,0
Centre,0,Machines,ES-2011-4709704,Sylviane Pinneau,Bavière,"StarTech Calculatrice, Blanc",Tarif normal,Allemagne,0,1,TR1,Produits technologiques,PRO-MA-10002431,29-Sep-14,3,2.25,2451,115.11,22-Sep-14,SP-20590,Munich,0
Nord,0,Accessoires,ES-2011-2621167,Jay Turcotte,Angleterre,"Logitech Carte mémoire, Recyclé",Tarif normal,Royaume-Uni,0,1,TR1,Produits technologiques,PRO-AC-10000869,27-Jun-14,4,8.04,1751,404.76,21-Jun-14,JT-15970,Weston-super-Mare,0
Nord,0,Art,IT-2011-1260172,Théophile Labelle,Dublin,"Sanford Marqueurs, Bleu",Prioritaire,Irlande,0.5,1,TR2,Fournitures de bureau,FOU-AR-10001404,03-Jul-14,3,-21.645,8939,34.875,02-Jul-14,TL-20995,Dublin,0
Nord,0,Art,ES-2011-4351964,Charline Goguen,Angleterre,"Stanley Marqueurs, Tailles assorties",Tarif normal,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-AR-10003846,28-Aug-14,2,16.74,8987,50.76,24-Aug-14,CG-12550,High Wycombe,0
Centre,0,Téléphones,ES-2011-4507133,Alice Dupuis,Mecklembourg-Poméranie,"Apple Dispositif audio, Tailles assorties",Tarif normal,Allemagne,0,1,TR1,Produits technologiques,PRO-TÉ-10000520,20-Sep-14,1,32.25,8294,169.74,16-Sep-14,AD-10510,Rostock,0
Centre,0,Chaises,ES-2011-3524149,Alice Dupuis,Provence-Alpes-Côte d'Azur,"Office Star Rocking chair, Noir",J+2,France,0.1,1,TR1,Mobilier,MOB-CH-10001129,13-Sep-14,9,124.578,4821,1121.688,08-Sep-14,AD-10510,Toulon,0
Centre,0,Classeurs,ES-2011-2272875,Didiane Leroux,Vienne,"Wilson Jones Machine à relier, Économique",Prioritaire,Autriche,0,0,TR1,Fournitures de bureau,FOU-CL-10003174,28-Dec-14,2,35.22,5746,97.92,27-Dec-14,DL-13480,Vienne,1
Sud,0,Accessoires,ES-2011-2382517,Mathilde Gabriaux,Émilie-Romagne,"Logitech Clavier, Programmable",Tarif normal,Italie,0,0,TR1,Produits technologiques,PRO-AC-10002397,10-Sep-14,9,66.42,5797,665.55,06-Sep-14,MG-17545,Reggio nell'Emilia,1
Sud,0,Meubles,ES-2011-5803751,Charlotte Louis,Communauté Valencienne,"Deflect-O Cadre photo, Multi-emballage",Tarif normal,Espagne,0,0,TR1,Mobilier,MOB-ME-10000005,13-Aug-14,4,0,1848,207.84,09-Aug-14,CL-12625,Valence,1
Centre,0,Chaises,ES-2011-5898391,Mavise Chatigny,Languedoc-Roussillon-Midi-Pyrénées,"Harbour Creations Fauteuil, Livré par deux",Prioritaire,France,0.1,0,TR1,Mobilier,MOB-CH-10000116,10-Dec-14,1,137.994,3390,428.274,09-Dec-14,MC-17650,Lunel,1
Sud,0,Art,ES-2011-2969148,Graziella Grignon,Émilie-Romagne,"Boston Marqueurs, Tailles assorties",Tarif normal,Italie,0,1,TR1,Fournitures de bureau,FOU-AR-10000415,16-Aug-14,4,0,2512,118.2,11-Aug-14,GG-15250,Parme,0
Centre,1,Éléments de fixation,ES-2011-5433855,Coryne Rouze,Provence-Alpes-Côte d'Azur,"Accos Épingles, Tailles assorties",Prioritaire,France,0,0,TR1,Fournitures de bureau,FOU-ÉL-10001908,08-Jan-14,3,2.25,6569,33.39,07-Jan-14,CR-13105,La Seyne-sur-Mer,0
Sud,0,Stockage,ES-2011-5340910,Pascaline Proulx,Madrid,"Eldon Dossiers, Bleu",Le même jour,Espagne,0.1,1,TR1,Fournitures de bureau,FOU-ST-10000053,21-Aug-14,7,8.274,3883,106.974,21-Aug-14,PP-18760,Madrid,0
Centre,0,Électroménager,IT-2011-3183678,Zacharie Lachapelle,Berlin,"Cuisinart Plaque de cuisson, Argent",Prioritaire,Allemagne,0.2,1,TR1,Fournitures de bureau,FOU-ÉL-10002990,25-Sep-14,7,377.244,5659,3018.624,23-Sep-14,ZL-21910,Berlin,0
Sud,0,Stockage,ES-2011-3911616,Natalie Viens,Catalogne,"Eldon Chariot, Bleu",J+2,Espagne,0.1,1,TR1,Fournitures de bureau,FOU-ST-10001716,09-Nov-14,2,5.082,161,230.202,04-Nov-14,NV-18055,Tarragone,0
Centre,0,Classeurs,ES-2011-1351543,Daisy Migneault,Berlin,"Cardinal Classeur, Économique",Tarif normal,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-CL-10002872,17-May-14,2,7.434,823,24.894,12-May-14,DM-13165,Berlin,0
Centre,1,Accessoires,ES-2011-3003511,Blanche Benoit,Berlin,"Memorex Routeur, Recyclé",Tarif normal,Allemagne,0.1,0,TR1,Produits technologiques,PRO-AC-10000833,18-Mar-14,1,48.798,359,219.618,14-Mar-14,BB-11815,Berlin,0
Nord,0,Art,IT-2011-4317663,Louise Larivière,Angleterre,"Boston Taille-crayon, Emballage en vrac",Tarif normal,Royaume-Uni,0.1,1,TR1,Fournitures de bureau,FOU-AR-10004134,04-Dec-14,2,1.716,841,52.596,28-Nov-14,LL-16720,Londres,0
Centre,0,Art,ES-2011-4939443,Arianne Aubin,Auvergne-Rhône-Alpes,"Binney & Smith Carnet de croquis, Emballage en vrac",Tarif normal,France,0,1,TR1,Fournitures de bureau,FOU-AR-10002240,08-Jan-14,3,20.88,5292,139.77,04-Jan-14,AA-10915,Valence,0
Nord,0,Fournitures,IT-2011-4045107,Miranda Chicoine,Dublin,"Fiskars Rasoir, Bleu",Tarif normal,Irlande,0.5,0,TR2,Fournitures de bureau,FOU-FO-10001935,06-Sep-14,4,-59.28,5173,84.6,30-Aug-14,MC-17875,Dublin,1
Nord,1,Enveloppes,ES-2011-4395271,Artus Renaud,Angleterre,"Cameo Enveloppe à fermoir, Rouge",Tarif normal,Royaume-Uni,0,0,TR1,Fournitures de bureau,FOU-EN-10004018,26-Oct-14,4,18.72,3361,52.2,22-Oct-14,AR-11095,Preston,0
Centre,0,Étiquettes,ES-2011-4805316,Emmanuel Pouchard,Saxe,"Novimex Étiquettes couleur, Durable",J+2,Allemagne,0,1,TR1,Fournitures de bureau,FOU-ÉT-10002382,03-Aug-14,2,7.14,864,25.62,30-Jul-14,EP-13915,Leipzig,0
Sud,1,Téléphones,IT-2011-3468929,Adélaïde Perreault,Latium,"Apple Amplificateur de signal, Taille réelle",Prioritaire,Italie,0.4,0,TR2,Produits technologiques,PRO-TÉ-10002604,04-Apr-14,6,-289.836,5684,496.584,01-Apr-14,AP-10045,Rome,0
Sud,0,Chaises,IT-2011-3745230,Avril Primeau,Lisbonne,"Novimex Rocking chair, Réglable",J+2,Portugal,0.5,1,TR2,Mobilier,MOB-CH-10001908,19-Dec-14,7,-103.32,3935,468.72,17-Dec-14,AP-11500,Lisbonne,0
Centre,0,Classeurs,IT-2011-4770705,Marlon Josseaume,Rhénanie-du-Nord-Westphalie,"Acco Classeur, Durable",Tarif normal,Allemagne,0,0,TR1,Fournitures de bureau,FOU-CL-10001663,17-Nov-14,3,13.95,5199,49.95,10-Nov-14,MJ-17320,Pulheim,1
Sud,1,Art,IT-2011-1780558,Jérôme Panetier,Campanie,"Binney & Smith Marqueurs, Bleu",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10001991,29-May-14,1,4.56,6881,24.09,25-May-14,JP-16105,Naples,0
Sud,0,Étiquettes,ES-2011-1941756,Louis Labonté,Madrid,"Harbour Creations Étiquettes de dossier, Blanc",Le même jour,Espagne,0,0,TR1,Fournitures de bureau,FOU-ÉT-10002777,12-Oct-14,5,13.5,9247,43.65,12-Oct-14,LL-16705,Madrid,1
Centre,1,Enveloppes,IT-2011-2403893,Patrick Quessy,Rhénanie-du-Nord-Westphalie,"Kraft Enveloppes, Argent",J+2,Allemagne,0,0,TR1,Fournitures de bureau,FOU-EN-10001990,23-Jun-14,2,3.96,9550,80.1,20-Jun-14,PQ-18835,Bochum,0
Nord,0,Meubles,IT-2011-1258830,Susanne Pomerleau,Angleterre,"Eldon Cadre photo, Noir",Tarif normal,Royaume-Uni,0.3,1,TR2,Mobilier,MOB-ME-10000880,04-Dec-14,1,-6.993,6715,40.677,30-Nov-14,SP-20725,Hove,0
Nord,0,Bibliothèques,ES-2011-2083843,Reine Jalbert,Angleterre,"Sauder Bibliothèque classique, Métal",Tarif normal,Royaume-Uni,0,1,TR1,Mobilier,MOB-BI-10000642,24-Oct-14,4,261.24,4206,1741.8,19-Oct-14,RJ-20065,Worcester,0
Nord,0,Machines,ES-2011-3249098,Sacha Charbonneau,Angleterre,"Okidata Jet d'encre, Multicolore",Tarif normal,Royaume-Uni,0.1,1,TR1,Produits technologiques,PRO-MA-10001583,08-May-14,5,502.5,2504,1413.45,04-May-14,SC-20200,Londres,0
Nord,0,Stockage,ES-2011-2660418,Thierry Dumont,Angleterre,"Tenex Rayonnage, Bleu",J+2,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-ST-10002520,19-Sep-14,5,13.65,8021,273.3,14-Sep-14,TD-21070,Darlington,0
Centre,0,Art,ES-2011-1517387,Caroline Busque,Alsace-Champagne-Ardenne-Lorraine,"BIC Marqueurs, Emballage en vrac",Tarif normal,France,0,1,TR1,Fournitures de bureau,FOU-AR-10004380,08-Mar-14,4,29.88,4242,106.8,01-Mar-14,CB-12235,Colmar,0
Centre,0,Meubles,ES-2011-5610862,Josette Richard,Rhénanie-du-Nord-Westphalie,"Tenex Butée de porte, Qualité supérieure",Prioritaire,Allemagne,0,1,TR1,Mobilier,MOB-ME-10003967,30-Mar-14,4,27.12,7499,170.04,29-Mar-14,JR-16180,Hamm,0
Centre,0,Classeurs,ES-2011-5504927,Thérèse Provencher,Languedoc-Roussillon-Midi-Pyrénées,"Avery Machine à relier, Durable",Prioritaire,France,0,0,TR1,Fournitures de bureau,FOU-CL-10004373,27-Mar-14,9,27,2929,453.06,24-Mar-14,TP-21025,Carcassonne,1
Centre,0,Fournitures,IT-2011-4599620,Pierre-Paul Brunault,Gueldre,"Acme Cutter, Rectangulaire",J+2,Pays-Bas,0.5,1,TR2,Fournitures de bureau,FOU-FO-10000879,15-May-14,2,-18.66,4491,34.5,11-May-14,PB-19105,Apeldoorn,0
Centre,0,Meubles,ES-2011-4932761,Seny Deniger,Vienne,"Advantus Butée de porte, Qualité supérieure",Tarif normal,Autriche,0,1,TR1,Mobilier,MOB-ME-10004572,24-May-14,2,27.06,77,87.3,18-May-14,SD-20335,Vienne,0
Sud,0,Art,ES-2011-2722980,Gaétane Avare,Catalogne,"Binney & Smith Carnet de croquis, Bleu",Tarif normal,Espagne,0,0,TR1,Fournitures de bureau,FOU-AR-10001026,14-Feb-14,2,24.06,8830,92.64,09-Feb-14,GA-14770,Barcelone,1
Centre,1,Téléphones,ES-2011-4240706,Béatrice Denis,Île-de-France,"Cisco Amplificateur de signal, Bleu",Tarif normal,France,0.15,0,TR1,Produits technologiques,PRO-TÉ-10000826,26-Apr-14,5,75.8775,5293,645.2775,22-Apr-14,BD-11590,Sannois,0
Centre,1,Éléments de fixation,ES-2011-2464932,Auguste Louineaux,Auvergne-Rhône-Alpes,"Advantus Colliers, Métal",Prioritaire,France,0,0,TR1,Fournitures de bureau,FOU-ÉL-10004910,09-Jun-14,3,26.73,8171,58.23,06-Jun-14,AL-11380,Oyonnax,0
Centre,0,Art,IT-2011-5134922,Jeanne Arsenault,Groningue,"Stanley Stylos, Bleu",Prioritaire,Pays-Bas,0.5,1,TR2,Fournitures de bureau,FOU-AR-10002052,10-Jan-14,1,-0.105,4677,5.025,07-Jan-14,JA-16030,Groningue,0
Sud,0,Bibliothèques,ES-2011-5227949,Thérèse Paquin,Sicile,"Bush Bibliothèque, Blanc",Tarif normal,Italie,0,1,TR1,Mobilier,MOB-BI-10002507,02-Sep-14,5,132.3,5833,630.15,27-Aug-14,TP-21010,Palerme,0
Nord,0,Meubles,ES-2011-1637634,Édith Lapierre,Rogaland,"Rubvermaid Butée de porte, Multi-emballage",Tarif normal,Norvège,0,1,TR1,Mobilier,MOB-ME-10002237,26-Mar-14,3,9.18,5114,131.58,21-Mar-14,ÉL-13720,Stavanger,0
Centre,1,Classeurs,ES-2011-3136087,Mavise Gareau,Île-de-France,"Ibico Machine à relier, Recyclé",Tarif normal,France,0,0,TR1,Fournitures de bureau,FOU-CL-10004896,20-Dec-14,2,18.6,8762,103.56,15-Dec-14,MG-17665,Marly-le-Roi,0
Centre,0,Photocopieurs,IT-2011-2536577,Mercedes Migneault,Pays de la Loire,"Sharp Télécopieur, Numérique",Tarif normal,France,0.15,0,TR1,Produits technologiques,PRO-PH-10000180,20-Nov-14,4,-177.174,9144,1003.986,15-Nov-14,MM-17755,Angers,1
Centre,0,Fournitures,IT-2011-3528798,Charmille Hervé,Pays de la Loire,"Fiskars Rasoir, Industriel",Prioritaire,France,0,0,TR1,Fournitures de bureau,FOU-FO-10001550,08-Nov-14,1,16.23,7556,43.92,06-Nov-14,CH-12655,Laval,1
Nord,1,Papier,ES-2011-4395271,Artus Renaud,Angleterre,"SanDisk Ramette, Par paquet de 12",Tarif normal,Royaume-Uni,0,0,TR1,Fournitures de bureau,FOU-PA-10000587,26-Oct-14,4,14.88,3362,135.72,22-Oct-14,AR-11095,Preston,0
Sud,0,Téléphones,ES-2011-4077297,Félicien Brault,Ceuta,"Samsung Téléphone de bureau, Bleu",Tarif normal,Espagne,0.1,1,TR1,Produits technologiques,PRO-TÉ-10001437,13-Jun-14,1,8.478,4275,58.698,08-Jun-14,FB-14305,Ceuta,0
Centre,1,Art,ES-2011-1815211,Adélaïde Perreault,Aquitaine-Limousin-Poitou-Charentes,"BIC Marqueurs, Tailles assorties",Tarif normal,France,0,0,TR1,Fournitures de bureau,FOU-AR-10001034,02-Jul-14,3,31.05,1222,88.83,27-Jun-14,AP-10045,Mont-de-Marsan,0
Sud,1,Éléments de fixation,ES-2011-2835499,Vartan LeBatelier,Pouilles,"Advantus Colliers, Métal",J+2,Italie,0,0,TR1,Fournitures de bureau,FOU-ÉL-10004910,20-Apr-14,2,17.82,6498,38.82,18-Apr-14,VL-21430,Brindisi,0
Centre,1,Stockage,ES-2011-1653919,Durand Thériault,Rhénanie-Palatinat,"Smead Plateaux, Bleu",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-ST-10003644,24-Sep-14,1,1.452,1162,43.632,19-Sep-14,DT-13705,Ludwigshafen,0
Sud,0,Enveloppes,ES-2011-2571502,Paulette Paré,Vénétie,"Ames Enveloppes, Recyclé",J+2,Italie,0,1,TR1,Fournitures de bureau,FOU-EN-10001366,17-Aug-14,3,2.07,1151,103.95,15-Aug-14,PP-18895,Trévise,0
